Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",CP_EIA-3528-12_Kemet-T,2,100uF,
"C2, C4, C8",0603,3,0.1uF,
"C3, C5, C6",0805,3,22uF,
D1,Vishay_SMPA,1,D_Schottky_Small,
FB1,0603,1,FerriteBead,
J1,PinHeader_1x03_P2.00mm_Vertical,1,BATTERY,
J14,PinHeader_1x02_P2.00mm_Vertical,1,CHARGE,
J3,PinHeader_1x02_P2.00mm_Vertical,1,BATTERY,
J4,PinHeader_1x02_P2.00mm_Vertical,1,DIRECT,
J7,PinHeader_1x06_P2.54mm_Vertical,1,VOUT,
J8,PinHeader_1x06_P2.54mm_Vertical,1,VIN,
J9,PinHeader_1x02_P2.00mm_Vertical,1,OUTPUT,
Q2,SOT-23,1,AO3401A,
R4,0603,1,10kΩ,
R5,0603,1,47kΩ,
U1,TSOT-23-6_HandSoldering,1,MAX16054,
U2,TS2326,1,TP2326,
U3,MP1584EN,1,MP1584EN,
